Année;Trimestre;Dernier jour du trimestre;Masse salariale à T+50 jours (brut);Masse salariale à T+70 jours (brut);Masse salariale à T+50 jours (cvs);Masse salariale à T+70 jours (cvs);Glissement trimestriel - Masse salariale à T+50 jours (cvs);Glissement trimestriel - Masse salariale à T+70 jours (cvs);Glissement annuel - Masse salariale à T+50 jours (cvs);Glissement annuel - Masse salariale à T+70 jours (cvs)
2022;3;2022-09-30;161513998888;161513998888;167886564345;167855382415;1.491481495;1.475895052;7.112937816;7.104583984
2023;1;2023-03-31;173588760189;173588760189;173722259787;173717365506;2.307150878;2.282789504;6.949318784;6.947799815
2024;1;2024-03-31;180536021373;180536021373;180381730103;180380119457;1.615321532;1.594238739;3.833400696;3.835398914
2024;3;2024-09-30;175001519728;175001519728;182222853249;182175709563;0.517393967;0.490653706;3.162016311;3.15682328
1997;4;1997-12-31;82481285000;82481285000;77560899290;77560896832;0.84515591;0.845148112;;
1998;3;1998-09-30;78492798325;78492798325;80631774787;80631776890;1.576666098;1.576665377;4.837927024;4.837924973
1999;1;1999-03-31;79246581843;79246581843;81915693471;81915693326;0.462957327;0.462959136;4.43548925;4.435491751
1999;2;1999-06-30;82857934430;82857934430;82872642631;82872645860;1.168212243;1.168216364;4.399621258;4.399621862
2000;1;2000-03-31;83947399018;83947399018;86488119433;86488121502;1.49156054;1.491560636;5.581868099;5.581870812
2000;3;2000-09-30;86699951163;86699951163;89250393046;89250391345;1.580415302;1.580409681;6.337506949;6.337508616
2001;1;2001-03-31;90417178194;90417178194;92791634494;92791639852;1.811717998;1.811727594;7.28830168;7.288305307
2003;1;2003-03-31;95228712537;95228712537;97559102127;97559119634;0.079917092;0.079954744;1.857352242;1.857360705
2003;3;2003-09-30;95818955717;95818955717;98789713594;98789711236;0.749405583;0.749396469;2.033681062;2.03367141
2003;4;2003-12-31;104731700371;104731700371;99327204120;99327188385;0.544075396;0.544061868;1.893704807;1.893708714
