Année;Nombre de salariés
2010;18521834.0
2011;18588492.25
2012;18553733.0
2013;18487525.0
2014;18487032.5
2015;18515455.5
2016;18674438.25
2017;18946704.5
2018;19174196.0
2019;19465059.75
2020;19266617.5
2021;19964188.0
2022;20431874.0
2023;20619259.25
2024;20690052.0
